count_session,count_hit,totals_newVisits,geoNetwork_latitude,geoNetwork_longitude,historic_session,historic_session_page,avg_session_time,avg_session_time_page,single_page_rate,sessionQualityDim,visitId_threshold,earliest_visit_number,avg_visit_time,days_since_first_visit,visits_per_day,bounce_rate,num_interactions,bounces,time_on_site,transactionRevenue,has_converted
9,1194,0,25.3463,55.4209,6504,1254,722.6666666666665,139.33333333333334,0.7777777777777777,6,1617217803,24,18,17,66.33333333333333,0.0,1900,0,5617,0,0
28,1816,0,25.4052,55.5136,12466,4963,445.2142857142858,177.25,0.8214285714285714,4,1617275532,8,11,24,73.48,0.0,3843,0,77417,1477195214,1
2,299,0,24.4539,54.3773,1575,0,787.5,0.0,1.0,42,1615301676,46,17,7,37.375,0.0,592,0,1576,0,0
3,507,0,24.4539,54.3773,1000,0,333.3333333333333,0.0,1.0,2,1613977212,5,15,1,253.5,0.0,507,0,1958,28745286,1
9,1037,0,25.2048,55.2708,3659,0,406.55555555555554,0.0,1.0,5,1617089505,42,10,24,41.48,0.0,1674,0,138440,1054124685,1
5,338,0,25.2048,55.2708,3072,1035,614.4,207.0,0.4,8,1616405764,2,10,29,12.933333333333334,0.0,4213,0,463,63207046,1
77,14441,0,24.4539,54.3773,29054,2724,377.3246753246753,35.37662337662338,0.987012987012987,2,1617277743,1,14,29,481.3666666666666,0.0,34617,0,12135,22202848,1
9,1715,0,25.2048,55.2708,2388,0,265.3333333333333,0.0,1.0,2,1617114575,52,15,26,63.51851851851852,0.0,2754,0,1210,0,0
26,3962,0,25.2048,55.2708,9100,0,350.0,0.0,1.0,2,1617023071,198,11,29,132.06666666666666,0.0,12013,0,0,176463141,1
15,741,0,25.4052,55.5136,4109,0,273.93333333333334,0.0,1.0,14,1609013505,16,18,25,28.5,0.0,1817,0,107,0,0
25,4071,0,25.2048,55.2708,4637,0,185.48,0.0,1.0,4,1617264147,254,12,28,140.3793103448276,0.0,38039,0,3871,34018930,1
27,5615,0,25.2048,55.2708,12990,0,481.11111111111114,0.0,1.0,2,1617098634,7,11,29,187.16666666666663,0.0,13998,0,7416,0,0
14,2091,0,25.2048,55.2708,10250,839,732.1428571428571,59.92857142857143,0.9285714285714286,25,1617032461,29,13,26,77.44444444444444,0.0,11201,0,11702,39613934,1
27,3791,0,25.2048,55.2708,13824,1625,512.0,60.18518518518518,0.9629629629629628,44,1616978624,172,12,29,126.36666666666666,0.0,5814,0,6269,0,0
8,674,0,25.2048,55.2708,6204,3589,775.5,448.625,0.75,4,1617149740,40,13,26,24.96296296296296,0.0,8577,0,6390,0,0
3,219,0,24.4539,54.3773,191,0,63.666666666666664,0.0,1.0,2,1616256592,4,18,11,18.25,0.0,1928,0,1245,97043288,1
